PC1,DeltaG_kJ_mol
-1.669010185527065815e+00,3.457887577492512410e+00
-1.539415503166955190e+00,3.457887577492512410e+00
-1.409820820806844566e+00,3.457887577492512410e+00
-1.280226138446733941e+00,1.728943788746255539e+00
-1.150631456086623317e+00,0.000000000000000000e+00
-1.021036773726512692e+00,3.457887577492512410e+00
-8.914420913664020674e-01,3.457887577492512410e+00
-7.618474090062914428e-01,1.728943788746255539e+00
-6.322527266461808182e-01,3.457887577492512410e+00
-5.026580442860701936e-01,3.457887577492512410e+00
-3.730633619259604572e-01,3.457887577492477771e+00
-2.434686795658507208e-01,3.457887577492512410e+00
-1.138739972057400962e-01,3.457887577492512410e+00
1.572068515437052838e-02,3.457887577492512410e+00
1.453153675144811530e-01,3.457887577492512410e+00
2.749100498745917776e-01,1.728943788746255539e+00
4.045047322347024021e-01,1.728943788746255539e+00
5.340994145948130267e-01,3.457887577492512410e+00
6.636940969549236513e-01,3.457887577492512410e+00
7.932887793150342759e-01,3.457887577492512410e+00
9.228834616751449005e-01,3.457887577492512410e+00
1.052478144035255525e+00,3.457887577492512410e+00
1.182072826395365261e+00,3.457887577492512410e+00
1.311667508755474998e+00,3.457887577492512410e+00
1.441262191115585622e+00,3.457887577492512410e+00
1.570856873475696247e+00,3.457887577492512410e+00
1.700451555835806872e+00,3.457887577492512410e+00
1.830046238195917496e+00,3.457887577492512410e+00
1.959640920556028121e+00,3.457887577492512410e+00
2.089235602916138745e+00,3.457887577492512410e+00
2.218830285276249370e+00,3.457887577492512410e+00
2.348424967636359995e+00,3.457887577492512410e+00
2.478019649996470619e+00,3.457887577492512410e+00
2.607614332356581244e+00,3.457887577492512410e+00
2.737209014716691868e+00,3.457887577492512410e+00
2.866803697076801605e+00,3.457887577492512410e+00
2.996398379436911341e+00,3.457887577492512410e+00
3.125993061797021966e+00,3.457887577492512410e+00
3.255587744157132590e+00,3.457887577492512410e+00
3.385182426517243215e+00,3.457887577492512410e+00
3.514777108877353839e+00,3.457887577492512410e+00
3.644371791237464464e+00,3.457887577492512410e+00
3.773966473597575089e+00,3.457887577492512410e+00
3.903561155957685713e+00,3.457887577492512410e+00
4.033155838317796338e+00,3.457887577492512410e+00
4.162750520677906962e+00,3.457887577492512410e+00
4.292345203038017587e+00,3.457887577492512410e+00
4.421939885398128212e+00,3.457887577492512410e+00
4.551534567758237948e+00,3.457887577492512410e+00
4.681129250118347684e+00,3.457887577492512410e+00
4.810723932478458309e+00,3.457887577492512410e+00
4.940318614838568934e+00,3.457887577492512410e+00
5.069913297198679558e+00,3.457887577492512410e+00
5.199507979558790183e+00,3.457887577492512410e+00
5.329102661918900807e+00,3.457887577492512410e+00
5.458697344279011432e+00,3.457887577492512410e+00
5.588292026639122057e+00,3.457887577492512410e+00
5.717886708999232681e+00,3.457887577492512410e+00
5.847481391359343306e+00,3.457887577492512410e+00
5.977076073719453930e+00,3.457887577492512410e+00
6.106670756079564555e+00,3.457887577492512410e+00
6.236265438439675179e+00,3.457887577492512410e+00
6.365860120799785804e+00,1.728943788746255539e+00
6.495454803159896429e+00,3.457887577492512410e+00
6.625049485520007053e+00,3.457887577492512410e+00
6.754644167880117678e+00,3.457887577492512410e+00
6.884238850240228302e+00,3.457887577492512410e+00
7.013833532600337151e+00,3.457887577492512410e+00
7.143428214960445999e+00,3.457887577492512410e+00
7.273022897320556623e+00,3.457887577492512410e+00
7.402617579680667248e+00,3.457887577492512410e+00
7.532212262040777873e+00,3.457887577492512410e+00
7.661806944400888497e+00,3.457887577492512410e+00
7.791401626760999122e+00,3.457887577492512410e+00
7.920996309121109746e+00,3.457887577492512410e+00
8.050590991481220371e+00,3.457887577492512410e+00
8.180185673841330996e+00,3.457887577492512410e+00
8.309780356201441620e+00,3.457887577492512410e+00
